time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-09-29T14:03:28.030Z,-5.9121,131.8264,50.22,4.7,mb,,87,2.122,0.41,us,us10003iup,2015-09-29T22:06:01.004Z,"105km WSW of Tual, Indonesia",earthquake
2015-09-29T13:43:11.460Z,36.5656662,-121.1340027,9.56,1.56,md,8,128,0.04608,0.02,nc,nc72532591,2015-09-29T13:44:45.740Z,"23km NE of Soledad, California",earthquake
2015-09-29T13:42:45.530Z,-33.007,-72.1425,21.23,4.7,mb,,80,0.424,0.68,us,us10003it2,2015-09-29T15:59:08.595Z,"48km W of Valparaiso, Chile",earthquake
2015-09-29T13:39:42.430Z,33.6466667,-116.7513333,11.95,0.96,ml,40,48,0.0539,0.17,ci,ci37250959,2015-09-29T17:06:02.320Z,"11km SSW of Idyllwild, California",earthquake
2015-09-29T13:38:26.610Z,48.235,-121.7506667,14.884,0.44,md,5,146,0.1247,0.12,uw,uw61071632,2015-09-29T22:54:14.800Z,"11km WSW of Darrington, Washington",earthquake
2015-09-29T13:34:47.240Z,33.4925,-116.4326667,14.4,0.88,ml,27,112,0.03136,0.15,ci,ci37250951,2015-09-29T17:06:16.280Z,"22km SSW of La Quinta, California",earthquake
2015-09-29T13:30:07.000Z,63.1019,-151.6473,0.2,1.4,ml,,,,0.5,ak,ak11726337,2015-09-29T13:43:02.160Z,"117km NW of Talkeetna, Alaska",earthquake
2015-09-29T13:26:02.130Z,37.5621667,-118.493,12.25,1.54,md,24,114,0.0419,0.06,nc,nc72532581,2015-09-29T20:11:02.710Z,"20km NNW of Dixon Lane-Meadow Creek, California",earthquake
2015-09-29T13:20:20.590Z,-33.0078,-72.1484,19.77,4.1,mb,,182,0.429,0.7,us,us10003irp,2015-09-29T15:32:53.400Z,"48km W of Valparaiso, Chile",earthquake
2015-09-29T13:06:05.010Z,39.7383333,-111.228,-3.38,1.36,md,11,80,0.1,0.27,uu,uu60124987,2015-09-29T16:46:41.440Z,"22km NE of Fairview, Utah",earthquake
2015-09-29T12:41:28.230Z,13.8503,-58.2189,10,4.5,mb,,213,1.48,1.27,us,us10003irj,2015-09-29T20:44:02.701Z,"157km ENE of Bathsheba, Barbados",earthquake
2015-09-29T12:40:00.590Z,36.5915,-98.2173,5,3.1,mb_lg,,80,0.207,0.31,us,us10003irh,2015-09-29T20:42:38.963Z,"6km NE of Helena, Oklahoma",earthquake
2015-09-29T12:39:43.000Z,35.9931667,-117.375,2.73,0.86,ml,11,77,0.1128,0.16,ci,ci37250935,2015-09-29T19:48:08.521Z,"25km N of Searles Valley, California",earthquake
2015-09-29T12:37:34.990Z,32.6723333,-115.6611667,11.61,2.7,ml,44,119,0.0596,0.26,ci,ci37250927,2015-09-29T23:39:57.340Z,"13km NW of Progreso, B.C., MX",earthquake
2015-09-29T12:33:42.500Z,18.0865,-66.3096,48,2.2,Md,4,176.4,0.25691817,0.15,pr,pr15272004,2015-09-29T17:22:46.306Z,"2km NE of Palmarejo, Puerto Rico",earthquake
2015-09-29T12:19:22.761Z,37.1924,-114.6005,6.7,0.9,ml,9,165.29,0.418,0.2104,nn,nn00512757,2015-09-29T14:37:38.171Z,"47km S of Caliente, Nevada",earthquake
2015-09-29T11:57:48.570Z,33.0966667,-116.4266667,7.55,1.17,ml,15,122,0.1443,0.25,ci,ci37250919,2015-09-29T12:44:10.427Z,"16km E of Julian, California",earthquake
2015-09-29T11:57:37.610Z,40.3141667,-111.3278333,-2.15,1.51,ml,13,157,0.113,0.12,uu,uu60124982,2015-09-29T16:15:20.540Z,"22km SSE of Heber, Utah",earthquake
2015-09-29T11:54:13.250Z,44.7543333,-111.0768333,11.55,-0.07,md,9,116,0.051,0.12,uu,uu60124977,2015-09-29T16:20:29.920Z,"10km NNE of West Yellowstone, Montana",earthquake
2015-09-29T11:45:32.980Z,-23.803,179.9917,529.23,4.3,mb,,103,5.73,0.66,us,us10003ire,2015-09-29T19:48:05.810Z,"South of the Fiji Islands",earthquake
2015-09-29T11:44:24.770Z,47.6166667,-122.758,15.176,0.49,ml,4,252,0.06942,0.02,uw,uw61071622,2015-09-29T23:03:04.610Z,"3km W of Chico, Washington",earthquake
2015-09-29T11:44:05.530Z,36.4515,-89.5331667,8.87,2.29,md,48,42,0.06291,0.17,nm,nm60091322,2015-09-29T19:46:41.948Z,"9km NW of Tiptonville, Tennessee",earthquake
2015-09-29T11:35:43.830Z,39.3908,143.5673,27.38,4.7,mb,,152,2.62,0.93,us,us10003ira,2015-09-29T19:38:17.813Z,"139km E of Yamada, Japan",earthquake
2015-09-29T11:28:33.600Z,33.1466667,-116.4413333,9.78,1.08,ml,42,82,0.1229,0.24,ci,ci37250895,2015-09-29T12:45:10.030Z,"14km SSW of Borrego Springs, California",earthquake
2015-09-29T11:00:06.400Z,18.9048,-67.654,24,2.7,Md,5,226.8,0.54348075,0.34,pr,pr15272003,2015-09-29T19:02:33.479Z,"74km NW of Aguadilla, Puerto Rico",earthquake
2015-09-29T10:54:41.500Z,27.7127,85.7924,10,4.2,mb,,138,0.438,1.18,us,us10003ir8,2015-09-29T18:57:15.303Z,"26km E of Nagarkot, Nepal",earthquake
2015-09-29T10:36:56.390Z,34.6453333,-116.2836667,2.6,1.77,ml,24,51,0.1153,0.16,ci,ci37250887,2015-09-29T12:45:18.070Z,"14km SW of Ludlow, California",earthquake
2015-09-29T10:35:41.630Z,33.373,-116.9688333,8.96,0.75,ml,26,62,0.05508,0.2,ci,ci37250879,2015-09-29T12:44:48.053Z,"10km W of Palomar Observatory, California",earthquake
2015-09-29T10:32:30.110Z,34.1733333,-117.2438333,2.52,1.19,ml,53,56,0.04149,0.13,ci,ci37250871,2015-09-29T22:01:00.460Z,"6km NNW of Highland, California",earthquake
2015-09-29T10:27:55.500Z,36.0231667,-117.7788333,2.12,-0.24,ml,11,60,0.01119,0.06,ci,ci37250863,2015-09-29T19:43:33.169Z,"15km NE of Little Lake, California",earthquake
2015-09-29T10:16:49.950Z,34.192,-116.4371667,5,0.7,ml,15,127,0.1091,0.16,ci,ci37250855,2015-09-29T12:45:05.374Z,"9km N of Yucca Valley, California",earthquake
2015-09-29T10:08:34.700Z,18.1916,-65.5528,26,2.4,Md,3,244.8,0.0943231,0,pr,pr15272002,2015-09-29T14:40:53.120Z,"12km ESE of Aguas Claras, Puerto Rico",earthquake
2015-09-29T10:01:20.930Z,-31.3844,-72.0854,10,4.4,mb,,125,0.807,1.16,us,us10003ir3,2015-09-29T18:03:56.346Z,"91km WNW of Illapel, Chile",earthquake
